#   ZZ   NN   Mcal    Esh alpha2 alpha4 alpha6
    2    2   6.25  -2.39   .021  0.000   .000
    2    3  13.88  -2.06   .021  0.000   .000
    2    4  16.87  -1.31   .120   .004  -.017
    2    5  25.15  -1.70   .022  0.000   .000
    2    6  30.66  -2.32   .022  0.000   .000
    2    7  41.29  -2.45   .022  0.000   .000
    2    8  50.40  -1.95   .124   .035  -.010
    2    9  62.05  -2.58   .111  -.039  -.006
    3    2  14.23  -1.92   .021  0.000   .000
    3    3  14.94  -1.12   .021  0.000   .000
    3    4  15.49   -.50   .118   .006  -.009
    3    5  21.13   -.96   .021  0.000   .000
    3    6  24.44  -1.97   .021  0.000   .000
    3    7  33.18  -1.00   .022  0.000   .000
    3    8  40.36   -.55   .165   .006  -.022
    3    9  49.42   -.96   .111  -.038  -.004
    3   10  56.44  -2.51   .022  0.000   .000
    3   11  69.09   -.71   .095   .040  -.008
    4    2  18.24  -1.15   .117   .001  -.012
    4    3  16.56   -.48   .122  -.006  -.008
    4    4   7.47    .17   .134   .019  -.026
    4    5  12.30   -.16   .120  -.011  -.025
    4    6  12.21  -1.06   .021  0.000   .000
    4    7  19.66   -.52   .117   .002  -.013
    4    8  24.17    .15   .116  0.000  -.011
    4    9  33.43    .77   .115  -.001  -.012
    4   10  39.98   1.26   .131   .012  -.019
    4   11  50.18   1.40   .130   .007  -.024
    4   12  58.03   1.53   .114  -.011  -.010
    4   13  68.92   1.23   .022  0.000   .000
    4   14  77.80   1.10   .075  -.029   .002
    4   15  89.39    .60   .021  -.001   .000
    5    2  28.06  -1.35   .023  0.000   .000
    5    3  23.43   -.97   .022  0.000   .000
    5    4  13.56   -.09   .123  -.012  -.024
    5    5  11.29   -.49   .084   .012  -.009
    5    6   8.67  -1.73   .021  0.000   .000
    5    7  13.49  -1.31   .021  0.000   .000
    5    8  16.40   -.97   .021  0.000   .000
    5    9  23.70    .15   .079   .009  -.005
    5   10  29.25    .89   .122   .002  -.008
    5   11  37.25   1.14   .118  0.000  -.012
    5   12  43.78   1.10   .085  -.011  -.002
    5   13  52.41    .66   .022  0.000   .000
    5   14  60.30    .58   .072  -.003  -.004
    5   15  70.01    .13   .021  -.001   .000
    5   16  79.26    .29   .061  -.001  -.014
    5   17  89.67   -.37   .019  -.001   .000
    6    2  35.79  -1.71   .101  -.005  -.021
    6    3  28.59  -2.01   .023  0.000   .000
    6    4  15.40   -.91   .022  0.000   .000
    6    5  10.77  -1.49   .022  0.000   .000
    6    6    .75  -2.80   .022  0.000   .000
    6    7   4.36  -2.57   .021  0.000   .000
    6    8   4.09  -2.41   .021  0.000   .000
    6    9  10.48  -1.34   .053  -.001  -.004
    6   10  13.37   -.67   .056   .003  -.009
    6   11  20.57   -.47   .038  -.002  -.001
    6   12  24.76   -.56   .043   .001  -.004
    6   13  32.82   -.88   .038  0.000  -.003
    6   14  38.25  -1.37   .022  0.000   .000
    6   15  47.52  -1.65   .021  0.000   .000
    6   16  54.59  -1.81   .020  -.001   .000
    6   17  65.40  -1.51   .019  -.001   .000
    6   18  74.51   -.72   .036   .003  -.004
    6   19  86.42   -.11   .052  -.008   .000
    7    2  47.53  -3.08   .025  0.000   .000
    7    3  38.96  -1.61   .024  0.000   .000
    7    4  24.87   -.48   .118   .001  -.013
    7    5  17.69  -1.06   .079   .007  -.005
    7    6   6.68  -2.30   .022  0.000   .000
    7    7   4.18  -2.30   .022  0.000   .000
    7    8   1.79  -2.38   .022  0.000   .000
    7    9   5.73  -1.45   .050  -.001  -.006
    7   10   7.39   -.99   .052   .003  -.012
    7   11  12.19  -1.00   .042  -.001  -.002
    7   12  15.12  -1.38   .046   .003  -.006
    7   13  20.80  -2.05   .040  -.001  -.004
    7   14  24.92  -2.94   .022  0.000   .000
    7   15  32.19  -3.32   .021  0.000   .000
    7   16  38.37  -3.54   .020  -.001   .000
    7   17  48.15  -2.50   .037   .003  -.004
    7   18  56.53  -1.67   .036   .002  -.003
    7   19  66.78  -1.11   .036  -.004  -.003
    7   20  75.69   -.71   .016  -.001   .000
    7   21  86.66   -.23   .015  -.001   .000
    8    4  31.97    .09   .120   .001  -.012
    8    5  23.19   -.78   .023  0.000   .000
    8    6   9.15  -2.03   .022  0.000   .000
    8    7   4.69  -2.11   .022  0.000   .000
    8    8  -3.72  -2.29   .022  0.000   .000
    8    9   -.70  -1.40   .048  -.001  -.012
    8   10  -1.72  -1.04   .048  -.002  -.012
    8   11   2.15  -1.21   .040  -.002  -.003
    8   12   2.58  -1.79   .040  -.002  -.004
    8   13   7.33  -2.70   .040  -.001  -.004
    8   14   9.13  -3.83   .022  0.000   .000
    8   15  15.80  -4.19   .021  0.000   .000
    8   16  20.20  -4.31   .020  -.001   .000
    8   17  29.41  -3.28   .039   .003  -.005
    8   18  36.05  -2.47   .036  -.004  -.003
    8   19  45.73  -1.95   .034  -.003  -.004
    8   20  53.02  -1.60   .016  -.001   .000
    8   21  63.48  -1.15   .015  -.001   .000
    8   22  71.79   -.72   .031   .004  -.003
    8   23  82.80   -.44   .032   .004  -.003
    8   24  91.52   -.41   .032  -.004  -.003
    8   25 102.66   -.63   .037  -.007   .000
    8   26 111.68  -1.00   .020  0.000   .001
    9    4  44.15    .64   .133   .012  -.015
    9    5  33.20    .12   .080   .010  -.005
    9    6  18.29  -1.08   .047  -.004  -.001
    9    7  11.51  -1.16   .058   .007  -.009
    9    8   2.23  -1.29   .048  -.001  -.013
    9    9    .28   -.37   .094   .031  -.002
    9   10  -2.27    .08   .121   .010  -.003
    9   11   -.38    .01   .121   .011  -.009
    9   12   -.75   -.51   .106   .011  -.003
    9   13   2.07  -1.38   .056  -.002  -.007
    9   14   3.12  -2.46   .022  0.000   .000
    9   15   8.05  -2.72   .021  0.000   .000
    9   16  11.81  -2.71   .020  -.001   .000
    9   17  19.15  -1.83   .057   .014  -.008
    9   18  24.98  -1.11   .076   .005  -.008
    9   19  33.16   -.49   .065  0.000  -.006
    9   20  39.94    .02   .052  -.005  -.002
    9   21  48.88    .46   .054   .006  -.005
    9   22  56.48    .79   .096   .022   .000
    9   23  65.94    .93   .103   .025  -.004
    9   24  74.09    .96   .118   .017  -.002
    9   25  84.03    .86   .114   .010  -.006
    9   26  92.69    .66   .082   .004  -.009
    9   27 102.99    .28   .068  -.003  -.008
    9   28 112.02   -.20   .044  -.010  -.001
   10    6  24.50   -.49   .057   .005  -.011
   10    7  16.53   -.70   .049  0.000  -.005
   10    8   4.55   -.95   .047  0.000  -.009
   10    9   1.09    .09   .123   .012  -.002
   10   10  -6.60    .34   .164   .030  -.011
   10   11  -5.43    .34   .182   .011  -.010
   10   12  -7.75    .11   .147  -.012  -.009
   10   13  -5.36   -.51   .071  -.019  -.003
   10   14  -6.26  -1.47   .022  0.000   .000
   10   15  -1.93  -1.71   .054  0.000  -.005
   10   16    .10  -1.54   .020  -.001   .000
   10   17   6.66   -.88   .057   .016  -.009
   10   18  10.63   -.30   .076   .003  -.011
   10   19  18.18    .21   .056  -.015  -.008
   10   20  23.29    .66   .016  -.001   .000
   10   21  31.90   1.23   .054   .014  -.009
   10   22  37.89   1.46   .164   .024  -.002
   10   23  46.85   1.52   .161   .025  -.007
   10   24  53.56   1.51   .159   .023  -.010
   10   25  63.18   1.48   .158   .016  -.010
   10   26  70.66   1.40   .165   .010  -.005
   10   27  80.87   1.31   .144  -.002  -.003
   10   28  88.87   1.02   .055  -.015  -.007
   10   29  99.26    .52   .011  0.000   .000
   10   30 107.84    .16   .043   .013   .001
   10   31 118.69   -.41   .060  -.001  -.011
   11    6  35.26   -.36   .047  0.000  -.004
   11    7  25.02   -.64   .047  0.000  -.005
   11    8  11.95  -1.16   .040  -.002  -.004
   11    9   6.51   -.01   .118   .011  -.005
   11   10  -1.90    .32   .186   .011  -.014
   11   11  -5.11    .26   .197   .001  -.018
   11   12  -8.65    .24   .174  -.008  -.006
   11   13  -7.99   -.22   .078  -.028   .002
   11   14  -9.68  -1.25   .022  0.000   .000
   11   15  -7.00  -1.35   .043  -.001   .000
   11   16  -5.65  -1.18   .020  -.001   .000
   11   17   -.79   -.53   .056   .015  -.006
   11   18   2.39   -.07   .098  -.007  -.003
   11   19   8.24    .32   .052  -.017  -.005
   11   20  12.57    .60   .016  -.001   .000
   11   21  19.83   1.33   .052   .015  -.006
   11   22  25.27   1.58   .189   .008  -.006
   11   23  32.84   1.67   .184   .008  -.008
   11   24  39.03   1.67   .180   .005  -.011
   11   25  47.31   1.64   .173  0.000  -.012
   11   26  54.24   1.53   .185   .001  -.012
   11   27  63.24   1.48   .175  -.010  -.005
   11   28  70.96   1.38   .052  -.019  -.003
   11   29  80.17    .89   .011  0.000   .000
   11   30  88.29    .50   .039  -.001  -.011
   11   31  98.19    .11   .057  -.001  -.009
   11   32 106.99   -.18   .041  -.011  -.001
   11   33 117.31   -.68   .010  0.000   .000
   12    6  43.43   -.59   .025  0.000   .000
   12    7  32.19   -.85   .035  -.001  0.000
   12    8  16.38  -1.80   .040  -.002  -.004
   12    9  10.13   -.57   .107   .011  -.004
   12   10   -.19    .10   .164   .008  -.006
   12   11  -4.65    .21   .179  -.004  -.009
   12   12 -12.62    .01   .147  -.025  -.007
   12   13 -12.69   -.49   .074  -.023   .000
   12   14 -16.35  -1.49   .022  0.000   .000
   12   15 -14.22  -1.53   .043  -.001  -.002
   12   16 -14.69  -1.31   .020  -.001   .000
   12   17 -10.46   -.74   .056   .013  -.005
   12   18  -9.15   -.43   .094  -.004  -.005
   12   19  -3.85   -.08   .051  -.015  -.003
   12   20  -1.30    .03   .016  -.001   .000
   12   21   5.44    .70   .046   .014  -.006
   12   22   9.50   1.08   .103   .009  -.003
   12   23  16.63   1.15   .112   .007  -.011
   12   24  21.41   1.16   .122  -.002  -.013
   12   25  29.34   1.17   .141  -.018  -.005
   12   26  35.03   1.14   .141  -.021   .000
   12   27  43.47    .89   .043  -.010  -.006
   12   28  49.61    .47   .011  -.001   .000
   12   29  58.84    .34   .044   .011  -.005
   12   30  65.96    .14   .060   .013  -.004
   12   31  75.66   -.14   .059  -.014  -.007
   12   32  83.37   -.40   .041  -.010  -.005
   12   33  93.39   -.91   .010  0.000   .000
   12   34 102.46   -.42   .009  0.000   .000
   12   35 114.75    .86   .058   .028   .003
   13    6  56.05   -.74   .045   .006  -.004
   13    7  42.53  -1.19   .031  -.003   .000
   13    8  25.39  -2.73   .035   .003  -.003
   13    9  17.21  -1.46   .058  -.002  -.007
   13   10   6.48   -.48   .072  -.017  -.003
   13   11    .37   -.11   .090  -.019   .000
   13   12  -8.38   -.39   .074  -.023   .000
   13   13 -12.51  -1.17   .073  -.020   .000
   13   14 -17.47  -2.19   .022  0.000   .000
   13   15 -16.99  -2.15   .032   .005   .000
   13   16 -18.07  -1.91   .020  -.001   .000
   13   17 -15.50  -1.36   .060   .003  -.002
   13   18 -14.82  -1.08   .077  -.009  -.007
   13   19 -11.24   -.89   .050  -.015  -.003
   13   20  -9.34   -.86   .016  -.001   .000
   13   21  -4.14   -.25   .047   .008  -.004
   13   22   -.64    .10   .067  -.002  -.008
   13   23   5.17    .26   .080  -.009   .000
   13   24   9.41    .24   .093  -.021   .000
   13   25  15.78    .02   .089  -.017  -.001
   13   26  20.65   -.35   .072  -.017  -.003
   13   27  27.61   -.81   .041  -.011  -.005
   13   28  33.11  -1.43   .011  -.001   .000
   13   29  41.19  -1.52   .031   .004  -.001
   13   30  48.03  -1.56   .039  -.003  -.005
   13   31  56.83  -1.60   .045  -.002  -.004
   13   32  64.39  -1.62   .032  -.001  -.006
   13   33  73.81  -1.63   .010  0.000  -.001
   13   34  82.53  -1.12   .009  0.000   .000
   13   35  93.82    .19   .042   .024   .000
   14    8  31.94  -3.83   .023  -.001   .000
   14    9  23.00  -2.49   .023  -.001   .000
   14   10  10.33  -1.37   .023  -.001   .000
   14   11   3.49  -1.00   .023  -.001   .000
   14   12  -7.21  -1.22   .022  0.000   .000
   14   13 -12.64  -2.02   .022  0.000   .000
   14   14 -21.49  -3.21   .022  0.000   .000
   14   15 -21.57  -3.13   .021  -.001   .000
   14   16 -24.44  -2.88   .020  -.001   .000
   14   17 -22.37  -2.29   .027  0.000  -.006
   14   18 -23.33  -1.94   .023  -.001  -.002
   14   19 -20.41  -1.92   .023  -.001  -.004
   14   20 -20.33  -2.11   .016  -.001   .000
   14   21 -15.52  -1.44   .027  0.000  -.006
   14   22 -13.43  -1.00   .027   .001  -.007
   14   23  -8.05   -.85   .026   .002  -.006
   14   24  -5.29   -.94   .025  -.002  -.005
   14   25    .59  -1.25   .026  -.002  -.005
   14   26   4.00  -1.76   .024  -.001  -.002
   14   27  10.34  -2.47   .026  -.001  -.004
   14   28  14.35  -3.31   .011  -.001   .000
   14   29  22.27  -3.22   .023  0.000  -.001
   14   30  27.99  -3.19   .025  -.001  -.002
   14   31  36.45  -3.25   .024  -.001  -.001
   14   32  42.77  -3.38   .011  -.001  -.001
   14   33  52.47  -2.82   .024  0.000  -.002
   14   34  60.15  -2.26   .009  0.000   .000
   14   35  71.43   -.69   .026   .002  -.007
   14   36  80.33    .47   .020  -.008  -.003
   14   37  91.16   1.09   .023  -.002  -.001
   14   38  99.90   1.53   .021   .002  -.002
   14   39 110.81   1.76   .026  -.001  -.004
   14   40 119.71   1.86   .008  0.000   .000
   14   41 131.17   2.22   .020   .001   .000
   15    8  44.33  -3.44   .042   .003  -.006
   15    9  32.74  -2.86   .021  -.001   .000
   15   10  19.34  -1.83   .056  0.000  -.004
   15   11  10.85  -1.30   .049  0.000  -.004
   15   12   -.32  -1.37   .047  -.001  -.003
   15   13  -7.30  -1.98   .041  -.001  -.004
   15   14 -16.60  -3.01   .021  -.001   .000
   15   15 -19.91  -2.78   .021  -.001   .000
   15   16 -23.83  -2.42   .020  -.001   .000
   15   17 -23.32  -1.81   .036   .002  -.003
   15   18 -24.90  -1.52   .062  -.001   .000
   15   19 -23.48  -1.48   .029  -.007  -.004
   15   20 -23.96  -1.70   .016  -.001   .000
   15   21 -20.59  -1.02   .044   .010   .000
   15   22 -19.11   -.68   .063   .004  -.004
   15   23 -15.12   -.54   .064   .014  -.004
   15   24 -12.87   -.66   .062   .012  -.004
   15   25  -8.34  -1.02   .061   .013  -.003
   15   26  -5.42  -1.55   .055   .001  -.005
   15   27   -.33  -2.26   .035  -.008   .000
   15   28   3.22  -3.14   .011  -.001   .000
   15   29  10.07  -2.91   .032   .004  -.001
   15   30  15.48  -2.79   .044   .002  -.004
   15   31  22.93  -2.71   .030  -.007  -.001
   15   32  29.02  -2.68   .011  -.001  -.001
   15   33  37.49  -2.26   .028  -.001   .000
   15   34  44.77  -1.74   .009  0.000   .000
   15   35  54.71   -.45   .045   .030   .007
   15   36  62.81    .24   .065   .023  -.005
   15   37  72.66    .89   .074   .015  -.010
   15   38  81.26   1.51   .082   .013  -.010
   15   39  91.45   1.98   .126   .026   .000
   15   40 100.10   2.13   .149   .025  -.001
   15   41 110.34   2.19   .151   .018  -.006
   15   42 119.33   2.19   .158   .009  -.006
   15   43 129.91   2.16   .156  -.004  -.006
   16   10  26.49  -1.86   .020  -.001   .000
   16   11  17.29  -1.32   .020  -.001   .000
   16   12   4.37  -1.27   .020  -.001   .000
   16   13  -3.13  -1.77   .020  -.001   .000
   16   14 -14.14  -2.70   .020  -.001   .000
   16   15 -18.45  -2.32   .020  -.001   .000
   16   16 -25.58  -1.85   .020  -.001   .000
   16   17 -25.60  -1.22   .055   .012   .000
   16   18 -28.87   -.99   .073   .003  -.005
   16   19 -27.94   -.94   .035  -.004  -.003
   16   20 -29.97  -1.15   .016  -.001   .000
   16   21 -27.14   -.57   .047   .015  -.001
   16   22 -27.29   -.38   .090   .021  -.003
   16   23 -23.98   -.51   .115   .029  -.006
   16   24 -23.20   -.69   .115   .007  -.008
   16   25 -18.95   -.94   .099  -.009  -.006
   16   26 -17.25  -1.36   .070  -.010  -.001
   16   27 -12.47  -2.03   .037  -.014  -.002
   16   28 -10.13  -2.85   .011  -.001   .000
   16   29  -3.62  -2.63   .036   .014  -.004
   16   30    .65  -2.45   .046   .001  -.005
   16   31   7.87  -2.29   .036  -.010  -.003
   16   32  12.98  -2.10   .011  -.001  -.001
   16   33  21.26  -1.57   .032  0.000  -.004
   16   34  27.73   -.77   .009  0.000   .000
   16   35  36.87   -.01   .083   .022   .000
   16   36  43.72    .49   .094   .018  -.007
   16   37  53.16    .97   .104   .017  -.007
   16   38  60.53   1.36   .122   .023  -.004
   16   39  70.29   1.65   .129   .029  -.005
   16   40  78.04   1.86   .151   .020  -.003
   16   41  88.04   1.90   .159   .014  -.008
   16   42  96.11   1.91   .157   .009  -.007
   16   43 106.47   1.87   .158  -.004  -.009
   16   44 114.88   1.74   .118   .007  -.013
   16   45 125.44   1.49   .111   .002  -.012
   16   46 134.11   1.17   .097  -.011  -.013
   16   47 144.95    .84   .097  -.013  -.007
   17   10  38.67  -1.11   .074   .031   .000
   17   11  27.72   -.62   .068   .026   .000
   17   12  14.04   -.75   .055   .013  -.005
   17   13   4.86  -1.27   .049  -.001  -.005
   17   14  -6.60  -2.10   .027  0.000  -.006
   17   15 -12.44  -1.64   .037   .002  -.003
   17   16 -20.06  -1.13   .057   .010   .001
   17   17 -23.42   -.79   .092   .017  -.003
   17   18 -27.78   -.60   .081   .002  -.010
   17   19 -28.25   -.48   .050  -.015   .000
   17   20 -30.75   -.67   .016  -.001   .000
   17   21 -29.46   -.20   .049   .017  -.001
   17   22 -30.24   -.17   .093   .024  -.004
   17   23 -28.38   -.39   .118   .016  -.009
   17   24 -28.23   -.76   .129  -.002  -.016
   17   25 -25.22   -.95   .118  -.023  -.008
   17   26 -23.90  -1.33   .086  -.025  -.004
   17   27 -20.34  -1.97   .037  -.014  -.001
   17   28 -18.51  -2.89   .011  -.001   .000
   17   29 -13.11  -2.59   .033   .011  -.004
   17   30  -9.18  -2.36   .044  -.002  -.004
   17   31  -3.06  -2.16   .033  -.011  -.002
   17   32   1.67  -1.98   .011  -.001  -.001
   17   33   9.03  -1.28   .030  0.000  -.002
   17   34  15.13   -.50   .052   .014   .001
   17   35  22.98    .02   .082   .020  -.003
   17   36  29.47    .49   .093   .012  -.006
   17   37  37.87    .94   .111   .007  -.004
   17   38  44.85   1.26   .122   .008  -.005
   17   39  53.61   1.52   .129   .002  -.005
   17   40  61.01   1.67   .141  -.001  -.013
   17   41  70.09   1.73   .140   .000  -.013
   17   42  77.82   1.68   .145  -.003  -.012
   17   43  87.17   1.53   .144  -.004  -.013
   17   44  95.33   1.40   .141  -.005  -.012
   17   45 105.06   1.20   .129  -.011  -.009
   17   46 113.53    .94   .108  -.016  -.008
   17   47 123.52    .58   .091  -.029  -.003
   17   48 132.31    .21   .067  -.022  -.001
   17   49 142.42   -.39   .050  -.021   .002
   17   50 151.23  -1.13   .022  -.009   .000
   18   12  21.25   -.43   .102   .002  -.011
   18   13  11.38  -1.01   .078  -.010  -.006
   18   14  -1.70  -1.74   .023  -.001  -.002
   18   15  -8.11  -1.31   .063  -.001   .000
   18   16 -17.40   -.81   .074   .002  -.006
   18   17 -21.82   -.48   .083   .002  -.009
   18   18 -29.27   -.38   .094  -.013  -.008
   18   19 -30.21   -.25   .057  -.013   .000
   18   20 -34.25   -.47   .016  -.001   .000
   18   21 -33.46   -.06   .048   .017  -.002
   18   22 -35.69   -.04   .083   .008  -.009
   18   23 -34.19   -.21   .102  -.006  -.010
   18   24 -35.42   -.57   .117  -.006  -.008
   18   25 -33.09  -1.06   .113  -.030  -.007
   18   26 -33.16  -1.52   .088  -.025  -.004
   18   27 -29.98  -2.19   .044  -.023   .004
   18   28 -29.43  -3.14   .011  -.001   .000
   18   29 -24.39  -2.86   .033   .009  -.004
   18   30 -21.63  -2.61   .045  -.001  -.004
   18   31 -15.78  -2.37   .033  -.013  -.002
   18   32 -12.10  -2.10   .011  -.001  -.001
   18   33  -5.00  -1.36   .029   .005  -.004
   18   34   -.07   -.66   .058   .013  -.002
   18   35   7.50   -.15   .073   .007  -.007
   18   36  12.90    .29   .083  -.002  -.010
   18   37  21.04    .73   .091  -.012  -.003
   18   38  27.11   1.15   .095  -.012   .000
   18   39  35.69   1.46   .031  -.007  -.002
   18   40  42.05   1.55   .008  0.000   .000
   18   41  51.11   1.80   .151   .002   .000
   18   42  57.93   1.77   .141  -.005  -.002
   18   43  67.08   1.64   .134  -.011  -.003
   18   44  74.21   1.39   .103  -.010  -.007
   18   45  83.56   1.00   .106  -.009  -.010
   18   46  91.07    .64   .097  -.016  -.010
   18   47 100.85    .26   .086  -.024  -.003
   18   48 108.74   -.17   .065  -.021   .000
   18   49 118.62   -.83   .041  -.014  -.001
   18   50 126.49  -1.70   .020  0.000  -.003
   18   51 136.40  -2.70   .006  0.000   .000
   18   52 145.22  -3.00   .020  0.000  -.003
   19   12  32.66   -.05   .103  -.004  -.004
   19   13  21.03   -.83   .051  -.014  -.003
   19   14   7.29  -1.71   .023  -.001  -.004
   19   15   -.58  -1.20   .029  -.007  -.004
   19   16 -10.30   -.64   .049  -.009   .000
   19   17 -16.11   -.22   .059  -.011   .000
   19   18 -24.03   -.11   .060  -.011  -.001
   19   19 -28.07   -.30   .051  -.016   .000
   19   20 -33.14   -.59   .016  -.001   .000
   19   21 -33.69   -.14   .044   .004  -.002
   19   22 -36.25    .01   .060  -.006  -.006
   19   23 -35.97   -.06   .070  -.019  -.002
   19   24 -37.56   -.37   .068  -.018  -.003
   19   25 -36.57   -.93   .065  -.018  -.003
   19   26 -37.40  -1.73   .062  -.017  -.003
   19   27 -35.68  -2.64   .042  -.018   .003
   19   28 -35.66  -3.73   .011  -.001   .000
   19   29 -31.71  -3.37   .031  0.000  -.002
   19   30 -29.30  -3.09   .043  -.002  -.002
   19   31 -24.56  -2.83   .031  -.009  -.001
   19   32 -21.30  -2.62   .011  -.001  -.001
   19   33 -15.15  -1.75   .025   .006   .001
   19   34 -10.49   -.98   .048   .001   .000
   19   35  -3.89   -.39   .053  -.002  -.003
   19   36   1.25    .10   .059  -.002  -.013
   19   37   8.26    .44   .071  -.021  -.001
   19   38  13.90    .72   .052  -.018   .001
   19   39  21.35    .87   .025  -.008   .000
   19   40  27.31    .85   .008  0.000   .000
   19   41  35.55   1.23   .025   .008  -.001
   19   42  42.28   1.38   .043   .004  -.004
